Gene,Rep,Temp.hot,Mom.is.SD,N.off.SD,N.off.total
185,1,0,1,80,138
185,2,0,1,136,253
186,1,0,0,30,79
186,2,0,0,442,662
186,1,0,1,102,183
186,2,0,1,329,536
187,1,0,0,138,256
187,2,0,0,655,1384
187,1,0,1,211,439
187,2,0,1,708,1416
188,1,0,0,40,120
188,2,0,0,206,519
188,1,0,1,90,253
188,2,0,1,218,509
189,1,0,0,32,92
189,2,0,0,186,470
189,1,0,1,50,149
189,2,0,1,192,428
190,1,0,0,318,639
190,2,0,0,6094,10239
190,1,0,1,1318,2197
190,2,0,1,7028,11284
191,1,0,0,9,14
191,2,0,0,18,37
191,1,0,1,2,13
191,2,0,1,23,40
192,1,0,0,13,26
192,2,0,0,106,200
192,1,0,1,36,64
192,2,0,1,153,250
193,1,0,0,18,43
193,2,0,0,218,439
193,1,0,1,63,127
193,2,0,1,264,508
194,1,0,0,137,278
194,2,0,0,553,1173
194,1,0,1,201,409
194,2,0,1,685,1410
195,1,0,0,21,39
195,2,0,0,95,207
195,1,0,1,20,47
195,2,0,1,72,170
196,1,0,0,47,71
196,2,0,0,119,181
196,1,0,1,69,106
196,2,0,1,100,179
197,1,0,0,27,168
197,2,0,0,255,1762
197,1,0,1,66,261
197,2,0,1,179,1159
198,1,0,0,14,22
198,2,0,0,85,155
198,1,0,1,28,59
198,2,0,1,58,142
199,1,0,0,36,79
199,2,0,0,230,521
199,1,0,1,82,203
199,2,0,1,253,543
200,1,0,0,289,549
200,2,0,0,1385,2785
200,1,0,1,543,1000
200,2,0,1,1295,2567
201,1,0,0,145,290
201,2,0,0,618,1372
201,1,0,1,229,449
201,2,0,1,597,1345
202,1,0,0,16,40
202,2,0,0,93,222
202,1,0,1,39,75
202,2,0,1,93,202
203,1,0,0,83,171
203,2,0,0,315,597
203,1,0,1,132,268
203,2,0,1,249,452
204,1,0,0,164,422
204,2,0,0,592,1555
204,1,0,1,310,805
204,2,0,1,575,1442
205,1,0,0,33,86
205,2,0,0,180,477
205,1,0,1,39,108
205,2,0,1,170,420
206,1,0,0,119,250
206,2,0,0,657,1430
206,1,0,1,750,1606
206,2,0,1,788,1867
